grupo,caso,instante,hora,convergiu_sem_gd,status_sem_gd,vmax_sem_gd_pu,barra_vmax_sem_gd,barras_mt_acima_1_05_sem_gd,sentido_sem_gd,kw_fonte_sem_gd,perdas_sem_gd_kw,potencia_sem_gd_kw,ajustes_sem_gd,convergiu_com_gd,status_com_gd,vmax_com_gd_pu,barra_vmax_com_gd,barras_mt_acima_1_05_com_gd,sentido_com_gd,kw_fonte_com_gd,perdas_com_gd_kw,potencia_com_gd_kw,ajustes_com_gd,delta_vmax_pu,delta_barras_mt_acima_1_05,delta_kw_fonte,delta_perdas_kw,comparacao_valida
alimentador,ALC9925,madrugada,2,True,ok,1.0449996256641452,alc9925_mt_50905,0,SE→rede,1661.400258645703,59.10396140846288,1661.400258645703,,True,ok,1.0449996259131349,alc9925_mt_50905,0,SE→rede,1651.7263566897768,59.02825603190293,1651.7263566897768,,2.4898971773268386e-10,0,-9.673901955926112,-0.07570537655995224,True
alimentador,ALC9925,meio_dia,12,True,ok,1.044999547614505,alc9925_mt_50905,0,SE→rede,1988.90819831935,68.49182693413036,1988.90819831935,vminpu=0.9,True,ok,1.0449995685437767,alc9925_mt_50905,0,SE→rede,1698.2650907149477,66.98462849935093,1698.2650907149477,vminpu=0.9,2.092927164909497e-08,0,-290.6431076044023,-1.5071984347794256,True
alimentador,ALC9925,ponta_noite,19,True,ok,1.0449995257690077,alc9925_mt_50905,0,SE→rede,2053.0718781265314,68.25436340147877,2053.0718781265314,vminpu=0.9,True,ok,1.0449995263186205,alc9925_mt_50905,0,SE→rede,2043.3895940969574,68.15934315208982,2043.3895940969574,vminpu=0.9,5.496127997162148e-10,0,-9.68228402957402,-0.09502024938895204,True
alimentador,RCP9882,madrugada,2,True,ok,1.044999708344192,rcp9882_mt_50508,0,SE→rede,1444.9137247198696,105.90064203942931,1444.9137247198696,vminpu=0.9,True,ok,1.044999708961184,rcp9882_mt_50508,0,SE→rede,1435.635352597598,105.82277925427555,1435.635352597598,vminpu=0.9,6.169920130361106e-10,0,-9.278372122271549,-0.07786278515376921,True
alimentador,RCP9882,meio_dia,12,True,ok,1.0449996516491031,rcp9882_mt_50508,0,SE→rede,1605.463483104284,123.51262248304612,1605.463483104284,vminpu=0.9,True,ok,1.044999651648233,rcp9882_mt_50508,0,SE→rede,1291.0052313509482,111.06157724357794,1291.0052313509482,vminpu=0.9,-8.701928067011977e-13,0,-314.45825175333584,-12.451045239468172,True
alimentador,RCP9882,ponta_noite,19,True,ok,1.0449996328965807,rcp9882_mt_50508,0,SE→rede,1745.9298570934495,126.70275472949395,1745.9298570934495,vminpu=0.9,True,ok,1.044999633551641,rcp9882_mt_50508,0,SE→rede,1736.645083110532,126.60756201439776,1736.645083110532,vminpu=0.9,6.550602282828777e-10,0,-9.284773982917613,-0.09519271509618932,True
alimentador,URG29983,madrugada,2,True,ok,1.0449997615660567,urg29983_mt_50724,0,SE→rede,1247.6261931260226,52.420343879808435,1247.6261931260226,,True,ok,1.0449997617158084,urg29983_mt_50724,0,SE→rede,1240.2198035492613,52.328606271243686,1240.2198035492613,,1.4975176654274946e-10,0,-7.406389576761285,-0.091737608564749,True
alimentador,URG29983,meio_dia,12,True,ok,1.0449997045439585,urg29983_mt_50724,0,SE→rede,1461.3042948248487,70.93362540213451,1461.3042948248487,maxiterations=100,True,ok,1.0449997097065082,urg29983_mt_50724,0,SE→rede,952.2506840720937,69.89202353530968,952.2506840720937,vminpu=0.9,5.162549721049459e-09,0,-509.05361075275505,-1.0416018668248341,True
alimentador,URG29983,ponta_noite,19,True,ok,1.0449996954945053,urg29983_mt_50724,0,SE→rede,1539.124697008002,64.68217887598458,1539.124697008002,vminpu=0.9,True,ok,1.0449996956831704,urg29983_mt_50724,0,SE→rede,1531.7053213803185,64.56114065367683,1531.7053213803185,vminpu=0.9,1.886650835558612e-10,0,-7.419375627683394,-0.12103822230774597,True
alimentador,PTS9924,madrugada,2,True,ok,1.0449999130676701,11309683_2,0,SE→rede,415.4708232786006,28.036290688519802,415.4708232786006,vminpu=0.9,True,ok,1.0449999130581114,11309683_2,0,SE→rede,412.9550416285951,28.026184386578773,412.9550416285951,vminpu=0.9,-9.558798197417673e-12,0,-2.515781650005522,-0.010106301941029017,True
alimentador,PTS9924,meio_dia,12,True,ok,1.0449998789204276,11309683_2,0,SE→rede,547.984807436522,32.027684607531434,547.984807436522,vminpu=0.9,True,ok,1.0449998792262742,11309683_2,0,SE→rede,528.2038243637857,31.923082892114458,528.2038243637857,vminpu=0.9,3.058466813143923e-10,0,-19.780983072736376,-0.10460171541697605,True
